"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0039155",730.595806139728,-4.61901334191268,0.168706754778534,-27.3789472625218,4.88548423116279e-165,4.06618852559679e-161
"FBgn0025111",1501.41051323996,2.89986434694232,0.126920467869455,22.8478857320713,1.53386089627174e-115,6.38316211983484e-112
"FBgn0029167",3706.11653071978,-2.19700018229563,0.0969888689517126,-22.6520858119238,1.33060927084991e-113,3.69155365376127e-110
"FBgn0003360",4343.03539692487,-3.17967219747694,0.143526226654484,-22.1539454606542,9.55716577728055e-109,1.98860726910765e-105
"FBgn0035085",638.232608936723,-2.56041189490093,0.137295199441817,-18.6489542628617,1.28771356514092e-77,2.14352800053357e-74
"FBgn0039827",261.916235943103,-4.16251579858753,0.232588756176071,-17.8964618368589,1.25655751201379e-71,1.74305469541513e-68
"FBgn0034736",225.876362546023,-3.51143853975995,0.21467209375939,-16.3572194143486,3.86371124693318e-60,4.59395267260355e-57
"FBgn0029896",489.892369695729,-2.44502407485817,0.151942786734442,-16.0917416838712,2.91519696141229e-58,3.03289803872931e-55
"FBgn0000071",342.2384071951,2.67958391890403,0.182611755460945,14.6736660635033,9.50667583507853e-49,8.79156255281762e-46
"FBgn0051092",153.065603475219,2.32771120970748,0.176746353973261,13.1697834630276,1.30972766434982e-39,1.09008633503835e-36
"FBgn0034434",114.625559330683,-3.64256772252245,0.278285469985765,-13.0893205552873,3.78982723952941e-39,2.86752110132757e-36
"FBgn0040091",1106.52964640409,-1.57539812788639,0.120941900892252,-13.0260738111759,8.6968917778066e-39,6.03201918889036e-36
"FBgn0027279",2954.97371231197,-1.19211886197099,0.0936071015812034,-12.7353463768648,3.76172916245948e-37,2.40837475531925e-34
"FBgn0038832",301.922359913768,-2.54114854373387,0.202516257616894,-12.5478742972874,4.08324737674953e-36,2.42749056547759e-33
"FBgn0034897",892.504226935569,-1.92150207102451,0.158925870560456,-12.0905555794553,1.18482774960645e-33,6.57421423998297e-31
"FBgn0039419",1564.3067965081,-1.1604645728173,0.0963584108907776,-12.0432099501173,2.10598446934641e-33,1.09550679614813e-30
"FBgn0003501",277.455454354175,2.15355253103982,0.180607012361517,11.9239696337433,8.87755754135105e-33,4.34634773039205e-30
"FBgn0035189",215.649109473704,2.97495875786046,0.253548139313754,11.7333093664675,8.60281278018205e-32,3.97784504274751e-29
"FBgn0033764",65.204000810515,3.41145583384449,0.294643866606716,11.5782346774522,5.31288523654516e-31,2.32732335914554e-28
"FBgn0040827",215.987277141888,-1.98994836245444,0.176483542584629,-11.2755463388333,1.73299459191327e-29,7.21185699424706e-27
"FBgn0032405",79.6140619600449,2.67261829827913,0.239772149084075,11.146491819373,7.4485456431023e-29,2.95210692321621e-26
"FBgn0052407",187.056692286253,-2.20300549005343,0.198261635680081,-11.111607560871,1.1015829491891e-28,4.16748858459131e-26
"FBgn0033913",5213.06530296395,-1.16143507270093,0.105040662769029,-11.0570044217521,2.02756417431921e-28,7.33713766211253e-26
"FBgn0023479",3091.86000673672,-1.52546317580436,0.139198207886468,-10.9589282718967,6.02081361268731e-28,2.08796798743319e-25
"FBgn0026562",43909.3483914385,-2.36250931020608,0.226919179757448,-10.4112367792416,2.20340242616053e-25,7.33556735717363e-23
"FBgn0034010",547.24959552593,-1.4517958118911,0.13977442379522,-10.386705753966,2.85028046461871e-25,9.12418627193136e-23
"FBgn0001224",598.924195179851,1.48574837035764,0.143621308215006,10.3449020818931,4.41367255609719e-25,1.36055543275544e-22
"FBgn0063649",646.206703234271,-1.30942399040098,0.128284802047577,-10.2071638222223,1.84169495583829e-24,5.4744382562293e-22
"FBgn0037754",269.759434828675,-2.34206474476909,0.234039360277367,-10.0071404313934,1.41791739917032e-23,4.06942293561881e-21
"FBgn0003748",1095.96898175689,1.07309686558744,0.107628469996962,9.97038112330066,2.05438977882342e-23,5.69956204304911e-21
"FBgn0085359",68.610037631773,-4.91812646937135,0.495981406058184,-9.91594928620045,3.54866825392595e-23,9.52760189594378e-21
"FBgn0261552",5128.82302485314,-1.89626263763012,0.191314190234266,-9.91177201914889,3.7002427480322e-23,9.62410012246001e-21
"FBgn0039109",475.414402545912,-1.30361091665211,0.131802399460949,-9.89064631587639,4.57067373605857e-23,1.15277931833986e-20
"FBgn0024288",58.8511039030606,-4.5858354086718,0.465011683925274,-9.86176383776355,6.09688049630886e-23,1.49248048149349e-20
"FBgn0024315",92.0861494119137,-2.28680397221569,0.232770722267172,-9.82427665276101,8.85071309403177e-23,2.10469957376076e-20
"FBgn0016715",150.876047301718,-1.97377819664217,0.203825678471194,-9.68365817028846,3.53824038500097e-22,8.18021520121196e-20
"FBgn0050147",973.928360811672,-0.951910616294367,0.0998103154864153,-9.53719674820512,1.46745261067263e-21,3.30097515638602e-19
"FBgn0040099",910.115655435202,-1.78131556551495,0.19031117003579,-9.3600158371154,7.97247413147381e-21,1.74618163674359e-18
"FBgn0003137",4518.86099683279,0.918383017594038,0.0991722986051194,9.26047929221467,2.03516577152848e-20,4.34325249139271e-18
"FBgn0001226",1323.88502751031,1.71861783390609,0.186315212842679,9.22424856072949,2.85556044998587e-20,5.9417074063081e-18
"FBgn0037290",67.0979552373649,3.01027388708434,0.330024352246335,9.12136897351572,7.41812787057347e-20,1.50587995772641e-17
"FBgn0001225",420.296785851059,1.34740654476017,0.151024428036518,8.92177882927898,4.58857866886488e-19,9.09303339546723e-17
"FBgn0034751",16641.1463539108,-1.06148818183706,0.119127367756596,-8.91053165890411,5.07884242736988e-19,9.83051291232547e-17
"FBgn0260011",89.2769721375591,2.38811421701579,0.269977010606316,8.84562063878161,9.1020987479023e-19,1.72174472451797e-16
"FBgn0039257",521.9273090084,-1.05270328938241,0.120273683973953,-8.75256543742679,2.08556516778401e-18,3.85736864254806e-16
"FBgn0037153",103.138008401758,1.84116013106365,0.212029711462286,8.68350062057762,3.83770832129728e-18,6.94374920829506e-16
"FBgn0040271",1010.0394401539,0.916711271296056,0.106709501374204,8.59071834738857,8.6427258361022e-18,1.53049802412508e-15
"FBgn0037239",747.673982647397,-0.875522707510438,0.102492504147219,-8.54230965274147,1.3156530677121e-17,2.28128760053496e-15
"FBgn0036968",736.417217926066,-0.975701069992934,0.115460163117695,-8.45054297211018,2.89951167767222e-17,4.92502769250324e-15
"FBgn0261362",5796.36332524863,1.51956717777958,0.181090901166708,8.39118458182891,4.81268028034706e-17,8.01118759466571e-15
"FBgn0038149",993.470196777235,1.04984650697864,0.125439981968985,8.36931328034005,5.79549823284354e-17,9.45802584156016e-15
"FBgn0051642",110.537870170146,2.0150521422959,0.241004282231505,8.3610636443392,6.21553022845501e-17,9.94843424835213e-15
"FBgn0031449",920.63439812227,-0.853181549621124,0.102432836210598,-8.32918018463349,8.14040900229718e-17,1.27835139860603e-14
"FBgn0033095",1489.11266835328,0.764441488603798,0.0921834053723745,8.29261498331332,1.10785488138661e-16,1.70753262551495e-14
"FBgn0051195",924.936169233483,0.801024984627681,0.0969663350978007,8.26085655211949,1.44630814154075e-16,2.18865866582613e-14
"FBgn0063498",343.876460247736,-1.37084752872106,0.166174276895148,-8.24945686140116,1.59116032376556e-16,2.36486203119656e-14
"FBgn0030237",2009.26220112743,-0.94406653308208,0.114842076640076,-8.22056306105349,2.02549947552989e-16,2.95758458505882e-14
"FBgn0030041",86.8729127322921,-2.84372907037636,0.346280983917095,-8.21220108077661,2.17170188150669e-16,3.1163921999621e-14
"FBgn0035968",295.080008715197,1.10726959635307,0.137023513781769,8.08087287935538,6.4304815774582e-16,9.07133867274315e-14
